Favorite_Count,Favorited,Hashtags,Replied,Retweet_Count,Retweeted,Screen_Name,Tweet_Coordinates,Tweet_Created_At,Tweet_Place,Tweet_Text,Tweet_URL,User_Location,User_Name,index,lat,long,keyword
0,False,[],None,0,False,QuinonezDeborah,None,2019-11-18 12:46:53,"Place(_api=<tweepy.api.API object at 0x1055c5f28>, id='ac31053cb03c56b2', url='https://api.twitter.com/1.1/geo/id/ac31053cb03c56b2.json', place_type='city', name='Towson', full_name='Towson, MD', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x1055c5f28>, type='Polygon', coordinates=[[[-76.667184, 39.371735], [-76.563177, 39.371735], [-76.563177, 39.420969], [-76.667184, 39.420969]]]), attributes={})","@CAYoungDems endorsement vote results: Booker - 1 (0.79%)
Harris - 6 (4.76%)
Buttigieg - 1 (0.79%)
Castro - 3 (2.38… https://t.co/nvBjCmM5gU","[{'url': 'https://t.co/nvBjCmM5gU', 'expanded_url': 'https://twitter.com/i/web/status/1196530237091274753', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",Bernie Sanders USA,Critical Thinker. #BernieSanders2020,64,39.956995,-95.901952,#feelthebern
1,False,"[{'text': 'BernieSanders', 'indices': [17, 31]}, {'text': 'BernieSanders2020', 'indices': [32, 50]}, {'text': 'FeelTheBern', 'indices': [51, 63]}]",None,0,False,foowombats,None,2019-11-18 12:42:06,None,"IM THE TRASH MAN
#BernieSanders #BernieSanders2020 #FeelTheBern https://t.co/kZw31cBMoj","[{'url': 'https://t.co/kZw31cBMoj', 'expanded_url': 'https://twitter.com/KyleKulinski/status/1196523730169716737', 'display_url': 'twitter.com/KyleKulinski/s…', 'indices': [64, 87]}]","Chippenham, UK",The Savage 🦈,65,51.4587621,-2.1159032,#feelthebern
0,False,"[{'text': 'MayorPete', 'indices': [25, 35]}, {'text': 'BernieSanders2020', 'indices': [88, 106]}]",None,0,False,foowombats,None,2019-11-18 10:43:38,None,"I used to like this song #MayorPete has destroyed it. Please America cancel this twat. 
#BernieSanders2020… https://t.co/mxNBS4Kosk","[{'url': 'https://t.co/mxNBS4Kosk', 'expanded_url': 'https://twitter.com/i/web/status/1196499220867497986', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [108, 131]}]","Chippenham, UK",The Savage 🦈,65,51.4587621,-2.1159032,#feelthebern
0,False,"[{'text': 'BernieSanders2020', 'indices': [73, 91]}, {'text': 'FeelTheBern', 'indices': [92, 104]}]",None,0,False,foowombats,None,2019-11-20 14:53:59,None,"This fucking man is collecting pop stars like Thanos does Infinity Jems.
#BernieSanders2020 #FeelTheBern https://t.co/28zdZx9lcR","[{'url': 'https://t.co/28zdZx9lcR', 'expanded_url': 'https://twitter.com/BernieSanders/status/1197256751126663169', 'display_url': 'twitter.com/BernieSanders/…', 'indices': [105, 128]}]","Chippenham, UK",The Savage 🦈,65,51.4587621,-2.1159032,#feelthebern
0,False,"[{'text': 'uspoli', 'indices': [99, 106]}]",None,0,False,OccupyCoscienza,None,2019-11-18 12:27:35,None,Income for poorest Americans fell faster than previously thought: study https://t.co/iJgEDyMdps ...#uspoli… https://t.co/XVrTDmU0Re,"[{'url': 'https://t.co/iJgEDyMdps', 'expanded_url': 'https://paper.li/maitre_a_panZer/1353573031?read=https%3A%2F%2Fthehill.com%2Fpolicy%2Ffinance%2F469040-income-for-poorest-americans-fell-faster-than-previously-thought-study', 'display_url': 'paper.li/maitre_a_panZe…', 'indices': [72, 95]}, {'url': 'https://t.co/XVrTDmU0Re', 'expanded_url': 'https://twitter.com/i/web/status/1196525377654575104', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [108, 131]}]",Canada,altor,68,61.0666922,-107.9917071,#feelthebern
4,False,"[{'text': 'FeelTheBern', 'indices': [44, 56]}]",1198013262757027840,0,False,PasswordSuck2,None,2019-11-22 15:14:04,None,"@SenSanders @realDonaldTrump Damn, make him #FeelTheBern 🔥🔥🔥
Fun fact, Trump never replies to @BernieSanders becaus… https://t.co/hK1ju23FD3","[{'url': 'https://t.co/hK1ju23FD3', 'expanded_url': 'https://twitter.com/i/web/status/1198016828385181698', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",Canada,Matt LP,68,61.0666922,-107.9917071,#feelthebern
0,False,"[{'text': 'FeelTheBern', 'indices': [0, 12]}]",None,0,False,BanksterBreaker,None,2019-11-18 12:18:00,None,#FeelTheBern https://t.co/GNamySFYU3,[],"2051 Constitution Avenue, DC",The Breaker of Banksters (a.k.a. Boiler569),69,38.8958095,-77.0303714,#feelthebern
0,False,"[{'text': 'MAGA', 'indices': [101, 106]}]",None,1,False,1stAirDel_USMCR,None,2019-11-18 12:02:17,None,"75% of the @AOC “squad” has been investigated for campaign finance issues. 

https://t.co/C7Ds3jGC0q #MAGA… https://t.co/q1HgrsNNOy","[{'url': 'https://t.co/C7Ds3jGC0q', 'expanded_url': 'http://bit.ly/MarxistCheats2pyuj7S', 'display_url': 'bit.ly/MarxistCheats2…', 'indices': [77, 100]}, {'url': 'https://t.co/q1HgrsNNOy', 'expanded_url': 'https://twitter.com/i/web/status/1196519013829894144', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [108, 131]}]",CyberSpace,Indict Obama ❌,71,6.427299,3.4216679,#feelthebern
1,False,[],None,0,False,FairTax4America,None,2019-11-19 07:49:08,None,"Senator Pocahonkey is going to give you a ""universal basic income"" -- after she taxes your paycheck 100%. SUCH A DE… https://t.co/lZIcdEO77y","[{'url': 'https://t.co/lZIcdEO77y', 'expanded_url': 'https://twitter.com/i/web/status/1196817692105330688', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",CyberSpace,Progressives-R-Liars,71,6.427299,3.4216679,#feelthebern
1,False,"[{'text': 'MAGA', 'indices': [81, 86]}, {'text': 'UniteBlue', 'indices': [87, 97]}, {'text': 'Millennials', 'indices': [98, 110]}]",None,3,False,actlightning,None,2019-11-19 06:12:38,None,"Here are six reasons to believe the left hates America: https://t.co/itce5ExKuh

#MAGA #UniteBlue #Millennials… https://t.co/STk3V9I3Kd","[{'url': 'https://t.co/itce5ExKuh', 'expanded_url': 'http://bit.ly/MarxismHates2KBm7Lv', 'display_url': 'bit.ly/MarxismHates2K…', 'indices': [56, 79]}, {'url': 'https://t.co/STk3V9I3Kd', 'expanded_url': 'https://twitter.com/i/web/status/1196793407366021120', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]",CyberSpace,Indict Hillary ❌❌,71,6.427299,3.4216679,#feelthebern
