Screen_Name,User_Name,Tweet_Text,Hashtags,Tweet_Created_At,Favorite_Count,Retweet_Count,Tweet_URL,lat,long,keyword
justrighthomes,Susan Britton-Seyler,#Bernie's  40 years of pride support. Unequivocal  principles that matter. #Bernie2020  https://t.co/W9xegxaqIN,"[{'text': 'Bernie', 'indices': [0, 7]}, {'text': 'Bernie2020', 'indices': [75, 86]}]",2019-11-17 12:16:45,0,0,"[{'url': 'https://t.co/W9xegxaqIN', 'expanded_url': 'https://youtu.be/fARW2YwerTc', 'display_url': 'youtu.be/fARW2YwerTc', 'indices': [88, 111]}]",39.9199416,-75.2426232,#bernie
DanaSenna,Dana Senna↙️,@GuerreroCuba @evoespueblo Por eso núnca va a ganar #Bernie las elecciones.,"[{'text': 'Bernie', 'indices': [52, 59]}]",2019-11-17 11:59:33,0,0,[],19.16667,-101.83333,#bernie
nancy_holly1,Nancy Holly,#bernie #bernie2020 #bernieblackout #fearofchange https://t.co/RVabHjPvZF,"[{'text': 'bernie', 'indices': [0, 7]}, {'text': 'bernie2020', 'indices': [8, 19]}, {'text': 'bernieblackout', 'indices': [20, 35]}, {'text': 'fearofchange', 'indices': [36, 49]}]",2019-11-17 11:54:42,0,0,"[{'url': 'https://t.co/RVabHjPvZF', 'expanded_url': 'https://twitter.com/fshakir/status/1196122387189776387', 'display_url': 'twitter.com/fshakir/status…', 'indices': [50, 73]}]",38.6268039,-90.1994097,#bernie
Vozable,Noa | Vozable.com,I’ve had quite a bit of success in #conservative districts while canvassing for #Bernie. Here is a video I used yes… https://t.co/GaPj5ix9Su,"[{'text': 'conservative', 'indices': [35, 48]}, {'text': 'Bernie', 'indices': [80, 87]}]",2019-11-17 11:49:50,1118,494,"[{'url': 'https://t.co/GaPj5ix9Su', 'expanded_url': 'https://twitter.com/i/web/status/1196153491040931840', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",48.85341,2.3488,#bernie
Vozable,Noa | Vozable.com,"A lot of people doubt a #Bernie agenda.
- how are you gonna pay for it
- how will you pass this in congress
- blah… https://t.co/yXfUWht85s","[{'text': 'Bernie', 'indices': [24, 31]}]",2019-11-19 11:56:09,81,47,"[{'url': 'https://t.co/yXfUWht85s', 'expanded_url': 'https://twitter.com/i/web/status/1196879857822683136', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",48.85341,2.3488,#bernie
Library10000,Boycott Evil MSM,@the_vello The cheers from the crowd abt #Bernie real points on Bolivia are so inspiring.,"[{'text': 'Bernie', 'indices': [41, 48]}]",2019-11-17 11:39:57,1,0,[],40.6501038,-73.9495823,#bernie
MikeHeymsfield,Mike Andrade-Heymsfield,@AbshirDSM @CAYoungDems @BernieSanders Was proud to watch this happen with so many awesome #Bernie supporters. #Bernie2020,"[{'text': 'Bernie', 'indices': [91, 98]}, {'text': 'Bernie2020', 'indices': [111, 122]}]",2019-11-17 11:33:58,1,0,[],32.7174209,-117.1627714,#bernie
AnthonyPktMedia,Anthonys Pocket Media 🧢,What is the difference between this generation and the past generation? #YangMediaBlackout #yanggang… https://t.co/LLnAZ6DJUf,"[{'text': 'YangMediaBlackout', 'indices': [72, 90]}, {'text': 'yanggang', 'indices': [91, 100]}]",2019-11-17 11:32:21,4,0,"[{'url': 'https://t.co/LLnAZ6DJUf', 'expanded_url': 'https://twitter.com/i/web/status/1196149091375316992', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [102, 125]}]",34.0536909,-118.2427666,#bernie
FredericEsq,Frederic Schultz Esq,"I""M ONLY candidate f/ president who will stop #SchoolShootings #DAY1 u elect me! We'll have a #wealthtax (over 2X… https://t.co/0DoQTuldBg","[{'text': 'SchoolShootings', 'indices': [46, 62]}, {'text': 'DAY1', 'indices': [63, 68]}, {'text': 'wealthtax', 'indices': [94, 104]}]",2019-11-17 11:22:17,0,0,"[{'url': 'https://t.co/0DoQTuldBg', 'expanded_url': 'https://twitter.com/i/web/status/1196146557118107649', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]",36.7014631,-118.7559974,#bernie
Jlo_Too,Judith Loshaw,"@proviewsusa Drives me nuts! 
They can't apologize and expects to be trusted again with our futures!
Obama endorsed… https://t.co/WepSSkKccJ",[],2019-11-17 11:14:18,0,0,"[{'url': 'https://t.co/WepSSkKccJ', 'expanded_url': 'https://twitter.com/i/web/status/1196144548436742144', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",45.9896587,-94.6113288,#bernie
Jlo_Too,Judith Loshaw,@Innerfranklin @beth72 @andresha_bass @Jaybefaunt Voted!!! #Bernie!,"[{'text': 'Bernie', 'indices': [59, 66]}]",2019-11-17 11:09:07,3,0,[],45.9896587,-94.6113288,#bernie
Jlo_Too,Judith Loshaw,@PepperOceanna Have #Bernie tell the world what he will be charging based on income for his #MedicareforAll. Let pe… https://t.co/rcoXkBod7z,"[{'text': 'Bernie', 'indices': [20, 27]}, {'text': 'MedicareforAll', 'indices': [92, 107]}]",2019-11-20 14:04:38,2,2,"[{'url': 'https://t.co/rcoXkBod7z', 'expanded_url': 'https://twitter.com/i/web/status/1197274577589735427', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",45.9896587,-94.6113288,#bernie
Jlo_Too,Judith Loshaw,"@KyleKulinski @Truman_Town Chris Matthews hates #Bernie but guess what? #Bernie welcomes there hate!
#BernieBeatsTrump","[{'text': 'Bernie', 'indices': [48, 55]}, {'text': 'Bernie', 'indices': [72, 79]}, {'text': 'BernieBeatsTrump', 'indices': [101, 118]}]",2019-11-21 13:52:50,2,2,[],45.9896587,-94.6113288,#bernie
Jlo_Too,Judith Loshaw,#Bernie has passed a lot of legislation. Pass it on. https://t.co/ardscAH9pD,"[{'text': 'Bernie', 'indices': [0, 7]}]",2019-11-21 13:43:43,6,3,"[{'url': 'https://t.co/ardscAH9pD', 'expanded_url': 'https://twitter.com/People4Bernie/status/1197629696101404673', 'display_url': 'twitter.com/People4Bernie/…', 'indices': [53, 76]}]",45.9896587,-94.6113288,#bernie
superbleeder12,const bool MILKSHAKE.FASCISTS == TRUE,"Every other Dem in the primary is trying to ape or go against #Bernie, so the choice is obvious.","[{'text': 'Bernie', 'indices': [62, 69]}]",2019-11-17 11:13:07,1,0,[],36.7183708,-76.2466798,#bernie
