Screen_Name,User_Name,Tweet_Text,Hashtags,Tweet_Created_At,Favorite_Count,Retweet_Count,Tweet_URL,lat,long,keyword
navy_michele,S. Michele Taylor,"@AmbJohnBolton Confirms That Trump Is Compromised And Making Policy Decisions For Cash--
#Trump isn’t just making m… https://t.co/lIVUKtsNPK","[{'text': 'Trump', 'indices': [89, 95]}]",2019-11-17 15:56:24,0,0,"[{'url': 'https://t.co/lIVUKtsNPK', 'expanded_url': 'https://twitter.com/i/web/status/1196215540001456131', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#trump
CPBacon4CO,🇺🇸 Chris P. Bacon 🥓,"The #UkraineGate scandals are not about #President #Trump 

#Copolitics #Coleg #Cogov #Cosen #Denver #Colorado https://t.co/gB6cwzwR8d","[{'text': 'UkraineGate', 'indices': [4, 16]}, {'text': 'President', 'indices': [40, 50]}, {'text': 'Trump', 'indices': [51, 57]}, {'text': 'Copolitics', 'indices': [60, 71]}, {'text': 'Coleg', 'indices': [72, 78]}, {'text': 'Cogov', 'indices': [79, 85]}, {'text': 'Cosen', 'indices': [86, 92]}, {'text': 'Denver', 'indices': [93, 100]}, {'text': 'Colorado', 'indices': [101, 110]}]",2019-11-17 15:52:12,2,1,"[{'url': 'https://t.co/gB6cwzwR8d', 'expanded_url': 'https://twitter.com/OANN/status/1195922364740988929', 'display_url': 'twitter.com/OANN/status/11…', 'indices': [111, 134]}]",39.7837304,-100.4458825,#trump
Paula_Turner2,Paula Turner,"@realDonaldTrump #Trump's economic bubble:

Low int. rates+stock buybacks fuel #WallStreet+Fed prints $$QE=… https://t.co/EPIKrPURfm","[{'text': 'Trump', 'indices': [17, 23]}, {'text': 'WallStreet', 'indices': [79, 90]}]",2019-11-18 15:49:43,0,0,"[{'url': 'https://t.co/EPIKrPURfm', 'expanded_url': 'https://twitter.com/i/web/status/1196576248060792832', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}]",39.7837304,-100.4458825,#trump
jayfortran,LibTardigrade,"Dear #Trump2020:

""#QuidProQuo"" means ""this for that"", which is a form of #Bribery. #Extortion is also a form of br… https://t.co/pYw35ZQ15I","[{'text': 'Trump2020', 'indices': [5, 15]}, {'text': 'QuidProQuo', 'indices': [19, 30]}, {'text': 'Bribery', 'indices': [74, 82]}, {'text': 'Extortion', 'indices': [84, 94]}]",2019-11-19 15:57:41,0,0,"[{'url': 'https://t.co/pYw35ZQ15I', 'expanded_url': 'https://twitter.com/i/web/status/1196940639478390785', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#trump
DrWAVeSportCd1,DrWAVeSport,"@brianstelter @QueenbeeAxs @mkraju WADR, 

FFS‼️

#Trump ‘s #EU @USAmbEU 

#Sondland HAS 

UNDER OATH ‘UNDERCUT’… https://t.co/vZo9m6QFyf","[{'text': 'Trump', 'indices': [50, 56]}, {'text': 'EU', 'indices': [60, 63]}, {'text': 'Sondland', 'indices': [75, 84]}]",2019-11-19 15:57:25,0,0,"[{'url': 'https://t.co/vZo9m6QFyf', 'expanded_url': 'https://twitter.com/i/web/status/1196940574718341121', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]",39.7837304,-100.4458825,#trump
GemSaadi,#THE WHISTLE🍑,"So #Trump was ""testing"" Zelinsky.

Who ""tested"" Trump, cause we really should have done that as a nation

#TrumpBribery 
#ImpeachmentHearing","[{'text': 'Trump', 'indices': [3, 9]}, {'text': 'TrumpBribery', 'indices': [106, 119]}, {'text': 'ImpeachmentHearing', 'indices': [121, 140]}]",2019-11-20 15:57:44,1,0,[],39.7837304,-100.4458825,#trump
Nesting4Awhile,Sandy 🌺 #CorruptTrump Must Go! 🇺🇸,@NBCNews 😂😂😂😂😂😂   #Trump is so. scared.,"[{'text': 'Trump', 'indices': [18, 24]}]",2019-11-20 15:56:01,2,0,[],39.7837304,-100.4458825,#trump
Mikanojo,Hikyuu Mikado🍑🌰🍵🍂,@KratosLiving @funder What you seem not to realize is that no conspiracy claim of other crimes committed by other p… https://t.co/T7f09JXXlp,[],2019-11-21 15:58:12,13,1,"[{'url': 'https://t.co/T7f09JXXlp', 'expanded_url': 'https://twitter.com/i/web/status/1197665546457600000', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#trump
LeftCrewPolitic,Left Crew Politics,"“It’s not a crime if the person who reported it might be a democrat.” - the @gop 

#trump #impeach","[{'text': 'trump', 'indices': [83, 89]}, {'text': 'impeach', 'indices': [90, 98]}]",2019-11-21 15:57:58,0,0,[],39.7837304,-100.4458825,#trump
Mikanojo,Hikyuu Mikado🍑🌰🍵🍂,"@funder Sadly, a two-thirds vote from the #Republican controlled Senate is required to convict #FascistTrump and Co… https://t.co/jT1sE3FEgC","[{'text': 'Republican', 'indices': [42, 53]}, {'text': 'FascistTrump', 'indices': [95, 108]}]",2019-11-21 15:55:01,63,19,"[{'url': 'https://t.co/jT1sE3FEgC', 'expanded_url': 'https://twitter.com/i/web/status/1197664744817094656', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#trump
